,ResponseID,Don't bypass your boss upward ( IVT 1 ),Presumed Target Identification ( IVT 2 ),Don't embarass the boss publicly ( IVT 3 ),Negative career consequences of voice         ( IVT 4 ),Constructive Voice Behavior ,Power Distance,Collectivist,Resistance to change,Core Self Evaluation Scale,Openess to change,Age,Gender,Level of education,No of countries you have lived in for at least more than 12 months,Where were these countries located?-Asia ( including India ),Where were these countries located?-Europe & Australia,Where were these countries located?-Latin America,Where were these countries located?-North America,Where were these countries located?-Africa,Please list the countries where you have lived in for at least more / than 12 months,Are you a manager ( do you have people reporting to you )?,How long have you worked for your current organisation?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,R_1Csa4z6OLpD2blp,3.25,4.25,5,4.5,6,2.2,5.00,4.06,5.08,7.00,3,2,4,1,,,,1,,US,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,R_3sjDl33BN4HkKuM,6.25,7,4.25,4.5,2,2.6,5.83,5.00,2.83,5.50,1,2,3,1,1,,,,,Malaysia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,R_1gBc3uvafgowUaq,3.75,4,4,4.75,7,1.6,4.67,2.76,3.92,7.75,1,1,2,1,,1,,,,switzerland,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,R_x0mGMsVzgtWGKdP,6.5,4.5,3,4.5,5.4,1,5.33,3.06,5.25,7.38,4,1,3,2,,1,,,,"UK, Switzerland",2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,R_e5LhTA0KLySBPjD,1.25,2.75,3.75,2.75,6,1.2,6.17,3.59,5.08,4.25,3,2,4,1,,,1,,,Brazil,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,R_33shvl0nMa6oAU1,3.25,2,3.75,3,6,2,5.50,2.65,5.42,6.88,3,1,3,2,,1,,,,England and Australia,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,R_6FE2FRnWnAWSy2h,4.5,5,5.25,2,5,3,4.33,2.18,5.50,6.88,1,1,4,2,,1,,,,Switzerland & Belgium,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,R_afM87BBlj4hFBBP,3.25,2.75,3.5,3,5,3,3.17,3.71,4.50,5.75,3,2,3,1,1,,,,,"Hong Kong, SIngapore",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,R_1LTNWK0miT22HLW,2.5,1,2,1,7,2,3.33,2.00,3.75,6.25,2,2,2,5,1,,,,,Singapore,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,R_0D6qvIePgqBMuMt,5.5,3.5,4.75,5.5,5,2.6,4.33,3.88,5.33,7.50,3,1,4,5,,1,,1,,"UK, Belgium, Germany, USA, Switzerland, Spain",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,R_246Q9IoZldcWP1H,7,5,6.25,6.25,4.4,2.6,5.50,3.82,3.42,6.88,3,1,3,2,1,1,,,,"India, Switzerland",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,R_1UnzIR2fdUZMRTf,4,2.5,5.5,3.25,3.8,3,4.17,3.88,4.50,5.50,4,2,3,1,1,,,,,Nil,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,R_8GL1O0vXvupPwCp,3.25,4,4.75,4,4.6,2,5.00,3.65,4.50,6.13,2,2,4,1,1,,,,,Malaysia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,R_79z3Xa8CH3ng1kp,4.25,2.25,6.75,2,6,2.6,6.17,3.06,4.83,5.63,4,2,4,1,1,,,,,"United States, Australia, Taiwan",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
