ResponseID,Constructive Voice Behaviour  ,Power distance,Resistance to Change,Core Self Evaluation ,Openness to Change,Age,Gender,Level of education,Are you a manager ( do you have people reporting to you )?,,,,,
R_R3MnTwKnjXrbrHP,7,1.8,2.12,3.92,7.625,21-30 years,Female,Bachelor Degree,NO,,,,,
R_sXpCYOZwz9lBGwh,6,1,2.53,5.50,8,31-40 years,Female,Bachelor Degree,YES,,,,,
R_elFFRabvDcVTZE9,6.6,2,2.29,6.17,8.125,31-40 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_e5HPSQxPj5heGup,6,1.8,3.06,4.00,7.375,41-50 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_bEg3hPY9hLVMel7,6,4,2.88,4.92,5.875,31-40 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_3WdhiN6ba6KSKFL,5.8,2,4.12,5.92,5.5,31-40 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_8B16vNC4qD3sSuV,6,1,2.41,6.33,8.75,41-50 years,Female,PhD,YES,,,,,
R_1RqOaVurl6ye2PP,5.6,2,3.18,5.75,6.5,31-40 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_eVgIDV18oLyatbT,5.4,2.4,3.18,5.58,6.25,21-30 years,Male,Diploma,NO,,,,,
R_4NJduxUr673Zui9,5.8,5.6,2.82,5.08,7.25,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_6sP8UJAan2qzZCl,5.2,1.4,2.41,5.33,8.75,21-30 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_3eoBbNnGqQDSKAh,5.6,2,4.06,4.17,5.5,21-30 years,Female,Bachelor Degree,NO,,,,,
R_6X04dSKEkRNZqT3,5.8,2,4.24,4.00,7.5,31-40 years,Female,Diploma,NO,,,,,
R_3GoVMiSBxuA2eFm,6,4,3.76,3.67,7,31-40 years,Female,Bachelor Degree,YES,,,,,
R_30qV21iLgHa1EWN,4.8,3,2.94,4.58,5,41-50 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_3HnbfPVoo1Zztlg,6,2.8,2.88,5.25,6.25,31-40 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_1meHvKfPu4HdSd1,4.6,2.8,4.41,4.75,6,41-50 years,Female,Postgraduate Diploma / Masters,NO,,,,,
R_vuDu2GW6yMQ6UZb,5.8,1.4,2.94,5.92,7.75,31-40 years,Male,Postgraduate Diploma / Masters,NO,,,,,
R_dgmELP8Hs64yOTX,6,1.8,2.47,5.83,7.375,41-50 years,Male,Bachelor Degree,NO,,,,,
R_86z92KDCz52c19P,5.2,2,2.35,4.33,7.5,31-40 years,Female,Bachelor Degree,NO,,,,,
R_3GiVztW22OM8dUI,7,3.4,2.65,5.42,7.5,41-50 years,Male,Postgraduate Diploma / Masters,YES,,,,,
R_aWCaTu0QUaZBSFn,6.6,1.8,2.47,5.92,5.875,31-40 years,Male,Bachelor Degree,YES,,,,,
R_4Z8M45vF1FdfXXn,5,3.4,3.41,6.00,5.5,51-60 years,Female,Postgraduate Diploma / Masters,YES,,,,,
R_6WmmkRsSdp8Nm7z,6,3,3.24,5.00,6.875,41-50 years,Female,Bachelor Degree,YES,,,,,
